Source_id,Gaus_id_S,RA_S,E_RA_S,DEC_S,E_DEC_S,Peak_flux_S,E_Peak_flux_S,Total_flux_S,E_Total_flux_S,DC_Maj_S,E_DC_Maj_S,DC_Min_S,E_DC_Min_S,DC_PA_S,E_DC_PA_S,Gaus_id_C,RA_C,E_RA_C,DEC_C,E_DEC_C,Peak_flux_C,E_Peak_flux_C,Total_flux_C,E_Total_flux_C,DC_Maj_C,E_DC_Maj_C,DC_Min_C,E_DC_Min_C,DC_PA_C,E_DC_PA_C,Gaus_id_X,RA_X,E_RA_X,DEC_X,E_DEC_X,Peak_flux_X,E_Peak_flux_X,Total_flux_X,E_Total_flux_X,DC_Maj_X,E_DC_Maj_X,DC_Min_X,E_DC_Min_X,DC_PA_X,E_DC_PA_X,Number of bands,S-band,C-band,X-band,Spectral_index,E_Spectral_index,Upper_limit_spectral_index,Lower_limit_spectral_index,Compactness_S,E_Compactness_S,Compactness_C,E_Compactness_C,Compactness_X,E_Compactness_X,Source_id
28,31,24.17639476,0.00003884399972,15.80474382,0.00002998593713,0.0001044295706,0.0000212513672,0.0001530958433,0.00002803465063,0.0004201790531,0.00009785477292,0.0001337337378,0.00006145975716,60.58347553,26.76326694,,,,,,,,,,,,,,,,17,24.17633498,0.00003261180926,15.80474942,0.00003181774224,0.00005471511863,0.000007850600138,0.00009721514454,0.00001181374888,0.000516299556,0.00009157108654,0.0002668089467,0.00005591029284,51.19605533,20.1533785,2,1,0,1,-0.3771783669,0.1825290906,,,1.46602004,0.4013371852,,,1.776751051,0.3340784563,28
29,32,24.17061849,0.00003444948487,15.81325522,0.0000423187907,0.00009009391262,0.00002149522674,0.0001194751205,0.00002888483988,0.000378407905,0.0001090825481,0,0.00006791597128,32.66010806,31.24961222,,,,,,,,,,,,,,,,18,24.17057908,0.00002925151959,15.81330756,0.00003751605303,0.00005554791342,0.000008320627504,0.0001033981648,0.0000125043991,0.0004882223807,0.00009025967891,0.0003407110904,0.00006635144077,155.3864708,31.81352812,2,1,0,1,-0.1200300669,0.2245144408,,,1.32611757,0.4504385654,,,1.861423021,0.3583553666,29
30,33,24.16816943,0.00003236260544,15.81792554,0.00003820533503,0.00009362385328,0.00002174981361,0.0001159015894,0.00002957058517,0.0002946949114,0.00009677157853,0.000106870534,0.0000673568337,153.1475649,39.01128702,7,24.16819651,0.00004050734482,15.81798477,0.00001899261767,0.00007911969668,0.00001926037167,0.00005613616181,0.00002886889052,0,0.00009887107514,0,0.00003638053902,0,16.77696096,19,24.168191,0.00003051584389,15.81798804,0.00002203366122,0.00006538387592,0.000008784288321,0.00009752296644,0.00001307458947,0.0004358795223,0.00007383942515,0.000141718384,0.00004902635367,106.9191974,22.36879014,3,1,1,1,-0.07607013808,0.399810576,,,1.237949362,0.427159319,0.7095093152,0.4036907109,1.491544591,0.2830937361,30
31,34,24.16222409,0.00002988550065,15.8143939,0.00003400770777,0.0001056167958,0.00002173752108,0.0001392590465,0.00002918218201,0.0003236914,0.00008414334596,0.0001412263744,0.00006546500185,31.99782854,48.06491036,,,,,,,,,,,,,,,,20,24.16218348,0.00003153649651,15.81441931,0.00002751299576,0.00006371979476,0.000008722905213,0.000119370402,0.00001328071633,0.0004755781896,0.00007484008083,0.0003520458955,0.00006412040518,103.564676,53.39984989,2,1,0,1,-0.1279896246,0.1970502291,,,1.318531256,0.3872810881,,,1.873364509,0.3304678149,31
32,35,24.1621274,0.00002564261413,15.73974089,0.00002605484043,0.0001435729503,0.00002273676765,0.0002096895055,0.00002998139208,0.0003300497089,0.00006642853351,0.0002610942782,0.000054752313,139.8294839,46.32864872,8,24.16209167,0.00004651543172,15.73972673,0.00002080946116,0.0001213711891,0.00002447537616,0.0001451942357,0.00003282695957,0,0.0001121971783,0,0.00004255661589,0,14.62043239,21,24.16211461,0.00002041438859,15.73973798,0.00003079630864,0.00008064313364,0.0000102536799,0.0001338149832,0.00001545113982,0.0004527137546,0.00007257181929,0.0002741682562,0.00004799361598,173.1923214,20.23864806,3,1,1,1,-0.373884855,0.05759540627,,,1.460508438,0.3116136936,1.196282551,0.3624209114,1.659347513,0.2849990256,32
33,36,24.16125063,0.00002563662021,15.73949976,0.00002168425786,0.0001414001288,0.00002241467604,0.0001728044171,0.0000305105463,0.0002772693142,0.00006409923946,0.000116531489,0.00004629428834,115.3301492,29.28767304,,,,,,,,,,,,,,,,22,24.16121665,0.00003575352964,15.73951975,0.00004695883021,0.00006395101473,0.000009669228293,0.0001786982839,0.00001623467664,0.0006881274843,0.000112748686,0.000516332229,0.00008126542586,16.95222614,28.18635208,2,1,0,1,0.02785490108,0.1649145151,,,1.222095189,0.2899799535,,,2.794299428,0.4928934943,33
34,37,24.1575746,0.00002488154351,15.80680041,0.00002687326646,0.0001172400347,0.00002120254489,0.0001341783991,0.00002920380916,0.0002241000064,0.00006833347032,0.00008947970435,0.00005261256517,148.8205528,41.33050099,,,,,,,,,,,,,,,,25,24.15758416,0.00001358699287,15.80679085,0.00002840775987,0.00007010463386,0.000008321363714,0.00008753872785,0.00001236105896,0,0.00006697456266,0,0.00003182838511,0,11.5631212,2,1,0,1,-0.3547134115,0.2154768498,,,1.144475941,0.3238621926,,,1.248686756,0.2303441075,34
35,38,24.15684243,0.00001620825164,15.75207225,0.00002823963914,0.0001871618703,0.00002224805162,0.0003368783451,0.00002861880753,0.0005391684387,0.00006714193449,0.0002306324485,0.0000370252937,172.6810863,12.21517989,9,24.15679745,0.00002042097795,15.75197445,0.00001626470698,0.0001455316277,0.00002079097553,0.000136985718,0.00002861593712,0,0.00004838208304,0,0.00003792794116,0,36.17566217,26,24.15686711,0.00001015154435,15.75206021,0.00001832719543,0.0001357374039,0.00001173215559,0.0002543227666,0.00001989003246,0.0005607692021,0.00004316385784,0.0002800266374,0.00002389312851,176.8669164,7.529048946,3,1,1,1,-0.2783498941,0.4792192918,,,1.799930427,0.2629822924,0.9412779895,0.2382152649,1.873638063,0.2183980834,35
36,39,24.15338217,0.00002267079603,15.80083103,0.00002155507943,0.0001239462671,0.0000207131148,0.000119759489,0.00002947966192,0,0.00006185897149,0,0.00003999879079,0,24.04477052,,,,,,,,,,,,,,,,27,24.15334708,0.00002905150446,15.80088065,0.00002584162456,0.0000637223293,0.000008331957898,0.0001169410985,0.0000127203627,0.0004560675991,0.00006841176352,0.0003542506371,0.00006085159055,95.50904193,65.74192308,2,1,0,1,-0.01977933205,0.2235142277,,,0.9662210234,0.28747365,,,1.835166727,0.3121338624,36
37,40,24.14893167,0.00005934844491,15.83529182,0.0000337498875,0.0001079619459,0.0000233006737,0.0001900753545,0.0000299415781,0.000654064827,0.0001523748564,0,0.00005127975145,114.328078,13.76379264,,,,,,,,,,,,,,,,29,24.14888836,0.00002709758632,15.83534482,0.00002498167596,0.00008447362861,0.00001181752402,0.0001144436562,0.00001757514,0.0003340137704,0.00006854627707,0.0001832900391,0.00005323319202,67.4300767,37.15251978,2,1,0,1,-0.4213632429,0.1827142501,,,1.760577331,0.4704189943,,,1.354785607,0.2814392709,37
